telescope_name,aperture_m,aperture_in,mirror_type,host_nationality,site,year_built
UTAS 40-inch,1.02 m,"40""",R/C,Australia,"Mount Canopus, Tasmania, Australia",1973
Vainu Bappu[6][7],2.34 m ,92.1 in),Single,India,"Vainu Bappu Observatory, Tamil Nadu, India",1986
Vatican Advanced Technology Telescope (VATT),1.83 m,72″,Single,Vatican City,"Mount Graham International Observatory, Arizona, USA",1993[29]
VLT Auxiliary Telescopes (1.8 x 4),1.80 m,71″,Single,Europe,"Paranal Observatory, Antofagasta Region, Chile",2006
VLT Survey Telescope (VST)[3],2.61 m ,102.8 in),Single,Italy + ESO countries,"Paranal Observatory, Antofagasta Region, Chile",2007
William Lassell 48-inch[77],1.22 m,48″,Metal,Great Britain,Malta,1861–1865
WIRO 2.3[8],2.3 m ,90.6 in),Single IR,USA,"Wyoming Infrared Observatory, Wyoming, USA",1977
Wise one-meter telescope,1.00 m,"39.4""",single,Israel,"Wise Observatory, Israel",1973
Xinglong 2.16m[12],2.16 m ,85.0 in),Single,PRC (China),"Xinglong, China",1989
Yapp telescope,0.914 m,36″,Single,U.K.,"Royal Observatory, Greenwich+Herstmonceux",1934-1990
"Yerkes ""41-inch""[88]",1.02 m,40″,Single,USA,"Yerkes Observatory, Wisconsin, USA",1968[89]
Zeiss di Merate (1m reflector),1.00 m,39.4″,Single,Kingdom of Italy,"Merate Obs., Merate, Italy",1926
ZIMLAT[90],1.00 m,39.4″,Single,Switzerland,"Zimmerwald Obs., Switzerland",1997
